Date_,Close,High,Low,Open,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,EFI_2,EMA_11,EMA_22,KCLs_20_3.0,KCBs_20_3.0,KCUs_20_3.0
2007-01-03,34.970436096191406,35.14202802736184,34.558613890411316,34.68216029031683,4324900,,,,,,,,,,
2007-01-04,34.91552734375,35.22439336051873,34.709617538665924,35.03907375045749,2776100,,,,,-152432.1876525879,,,,,
2007-01-05,34.23602294921875,34.750798744368595,34.14679441160629,34.750798744368595,2033200,,,,,-971856.2858581543,,,,,
2007-01-08,34.22228240966797,34.62037418002206,34.105598578476595,34.393874276849786,2703100,,,,,-348713.4635925293,,,,,
2007-01-09,34.6135139465332,34.771378160586686,34.42133188043058,34.52428543657801,2225700,,,,,464271.533203125,,,,,
2007-01-10,34.4899787902832,34.6958885877622,34.38702258240114,34.48311626495746,2236800,,,,,-29458.44726562497,,,,,
2007-01-11,34.86748123168945,35.176347243336764,34.709616963133094,35.07339103335927,4420300,,,,,1102629.8787434895,,,,,
2007-01-12,34.9429817199707,35.19693705196852,34.73020677688407,35.08711831773012,2209200,,,,,478740.41205512156,,,,,
2007-01-16,34.970436096191406,35.416573546263486,34.91552542144002,35.19007355862675,2896400,,,,,212592.7075421369,,,,,
2007-01-17,35.23126220703125,35.478352428129085,34.88807828972895,35.279307745990735,3421400,,,,,665791.2062656732,,,,,
2007-01-18,35.656795501708984,36.034297138551196,35.33420190852235,35.9656614294106,3622300,,,,,1249536.5709626626,34.828792572021484,,,,
2007-01-19,35.95879364013672,36.192158699631996,35.72542858064144,36.01370429803409,4195600,,,,,1261221.1167124892,35.01712608337402,,,,
2007-01-22,35.81467819213867,36.06863358883064,35.58817552228591,35.938224626915485,2305000,,,,,198949.63381383108,35.1500514348348,,,,
2007-01-23,35.68424987792969,35.9313399951955,35.38224648190859,35.79406858058707,2659200,,,,,-164906.77082507714,35.23908450868395,,,,
2007-01-24,35.86957550048828,35.979394229748564,35.57443979295787,35.69112104729721,3507700,,,,69.18993325465576,378408.86722416047,35.34416634065134,,,,
2007-01-25,35.47148513793945,35.890169879743766,35.217529806362386,35.72544046951652,3394000,,,,56.95786286097987,-774609.5045857616,35.36538614019936,,,,
2007-01-26,35.663665771484375,35.84212284326609,35.450893455963545,35.773484500932724,3142100,,,,60.5809276489915,144364.01091241214,35.4150994120802,,,,
2007-01-29,35.68424987792969,35.75974810865056,35.519520514801414,35.69797492476301,1892600,,,,60.95998016582616,74092.99020973634,35.45995782305512,,,,
2007-01-30,35.79408264160156,35.82840050873478,35.66367108089573,35.7254442890497,1762100,,,,63.00421064307358,153721.8719807194,35.51564529281286,,,,
2007-01-31,35.38911437988281,35.47834028267075,35.15574929127474,35.34106885737097,4057600,,,,52.15931312394478,-1044225.5218397601,35.49455680732452,,,35.22233066558838,
2007-02-01,35.79408264160156,35.83526303484725,35.41657824827987,35.75289963007044,2741900,,,,59.64073012089684,392179.81059117365,35.54447777970403,,33.72948103232208,35.263512992858885,36.79754495339569
2007-02-02,35.53327178955078,35.97254689205108,35.47836109259517,35.697998643845324,3375800,,,,53.80496065777211,-456236.9127049603,35.54261011467849,35.26245307922363,33.76345675797165,35.294400215148926,36.8253436723262
2007-02-05,34.853755950927734,35.176349653897724,34.50370952592963,35.00475770436651,3342300,,,,42.21502895752658,-1666176.1625215265,35.4278010873867,35.22691419850225,33.75521900833549,35.325286865234375,36.89535472213326
2007-02-06,33.817344665527344,34.421349113467144,33.542796475113185,34.421349113467144,5755900,,,,31.182281465432123,-4532378.532597914,35.15939168374347,35.104342934765306,33.61554453998809,35.305039978027345,36.9945354160666
2007-02-07,34.242889404296875,34.55175544049054,33.65947781681971,33.93402336810321,5271000,,,,38.31115634071147,-15428.632163172122,35.00664130383571,35.02943393211588,33.545536031963465,35.28650875091553,37.027481469867595
2007-02-08,34.02323913574219,34.17424083411257,33.76241873445274,33.947738286557,2091600,-0.23570097869638573,,,36.22521137441279,-311423.2118603803,34.842740942486785,34.94193873243121,33.496458349563945,35.26317176818848,37.02988518681301
2007-02-09,33.25452423095703,34.13993942245017,33.117250131624765,34.00952784985597,2538500,-0.34699789946749604,,,30.05720957424965,-1404729.5944848729,34.57803815723183,34.79520703665085,33.36536237386155,35.18252391815186,36.999685462442166
2007-02-12,33.398651123046875,33.70065195893168,33.29569492398267,33.59083323512949,1632100,-0.4187446477172614,,,32.38187828238223,-311423.5311084017,34.38147365153434,34.673767391989635,33.29123622608182,35.10530738830566,36.9193785505295
2007-02-13,33.467281341552734,33.73496689145524,33.33000992308106,33.43982862882908,2622000,-0.46470969347125646,,,33.51505199588841,16157.778245441601,34.22910826653741,34.56885556151686,33.23049216181729,35.03014965057373,36.82980713933018
2007-02-14,33.774452209472656,33.836575770344645,33.53286204671231,33.629498111816446,2145700,-0.47092269776387496,,,38.48406723729644,444783.61361233145,34.15333225702662,34.49977700916519,33.19079861838059,34.9573091506958,36.72381968301101
2007-02-15,33.588069915771484,33.767536455619926,33.450017313431104,33.705415549357845,1736000,-0.4852918989406376,,,36.69210468423553,-67445.23670604572,34.05912186681743,34.42049813147879,33.15915234440548,34.85387287139893,36.54859339839238
2007-02-16,33.38101577758789,33.443139360623555,33.15322842874507,33.25676861151658,2056500,-0.5075365673081293,,,34.75594567679705,-306352.96901838895,33.946104185279175,34.330108361575235,33.04534170791252,34.72498397827148,36.40462624863044
2007-02-20,33.75373840332031,33.788250900568684,33.23604304519046,33.58807473013947,2020000,-0.4894479747477831,,,40.81072024283194,399815.47964686516,33.914043221619366,34.27998923477046,32.93153225014658,34.62193698883057,36.31234172751456
2007-02-21,33.588069915771484,33.75373356520682,33.16010921833723,33.75373356520682,1859900,-0.482913965626075,-0.049328818543975084,-0.43358514708209994,39.07494210403561,-72146.05344575518,33.85971433731139,34.219822337466205,32.820042901284246,34.517127990722656,36.214213080161066
2007-02-22,33.56737518310547,33.80896535041559,33.401711473281864,33.498347540205906,1633200,-0.47394229651973063,-0.03228571955010451,-0.4416565769696261,38.852639230317564,-46581.10940867621,33.810991144943735,34.1630878023044,32.70458796936365,34.402017974853514,36.09944798034338
2007-02-23,32.863304138183594,33.3602925606262,32.863304138183594,33.24294690171172,2828600,-0.5176773707860889,-0.06081663505317014,-0.45686073573291874,32.15098057265852,-1343217.274913569,33.65304331048371,34.05006313585912,32.56946427364478,34.271608924865724,35.973753576086665
2007-02-26,32.683837890625,33.070384769040935,32.5664948542034,32.97374870772075,2264000,-0.5603596809620015,-0.08279915618326616,-0.47756052477873534,30.697479113009187,-718613.4812862938,33.49150907384059,33.93126094062137,32.40357380047156,34.12261753082275,35.84166126117394
2007-02-27,31.91075325012207,32.46296130780984,31.64845343529448,32.10402541202886,5079900,-0.6490849416702957,-0.13721953351324823,-0.5118654081570475,25.375584706900632,-2857666.270622653,33.228049769887505,33.75556461970839,32.09562543985898,33.93394269943237,35.772259959005765
